title,body,author,slug,video
Meet Purencool Digital,,Purencool,video/meet-purencool-digital,https://www.youtube.com/watch?v=R_dJAeyvP-8
Purencool Digital video & social media marketing,,Purencool,video/online-video-and-social-media,https://www.youtube.com/watch?v=Xs9Z2fMcCrg

